#t = 2646452000.000000 [s], N conservation: 8.916e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
2.642902e+00 2.689191e-02 1.732355e+53 1.008026e+46 6.300506e+41 9.996578e-10 2.643807e+09 1.044104e+21 
2.669794e+00 2.716554e-02 1.706165e+53 1.013093e+46 6.205552e+41 1.009829e-09 2.643807e+09 1.033587e+21 
2.696960e+00 2.744195e-02 1.680371e+53 1.018185e+46 6.112029e+41 1.020105e-09 2.643807e+09 1.023176e+21 
2.724402e+00 2.772118e-02 1.654966e+53 1.023303e+46 6.019915e+41 1.030484e-09 2.643807e+09 1.012870e+21 
2.752123e+00 2.800324e-02 1.629945e+53 1.028446e+46 5.929190e+41 1.040970e-09 2.643807e+09 1.002668e+21 
2.780126e+00 2.828818e-02 1.605301e+53 1.033614e+46 5.839832e+41 1.051562e-09 2.643807e+09 9.925681e+20 
2.808414e+00 2.857602e-02 1.581030e+53 1.038808e+46 5.751821e+41 1.062261e-09 2.643807e+09 9.825703e+20 
2.836990e+00 2.886678e-02 1.557124e+53 1.044027e+46 5.665136e+41 1.073070e-09 2.643807e+09 9.726732e+20 
2.865857e+00 2.916051e-02 1.533580e+53 1.049272e+46 5.579757e+41 1.083989e-09 2.643807e+09 9.628758e+20 
2.895018e+00 2.945722e-02 1.510391e+53 1.054543e+46 5.495665e+41 1.095018e-09 2.643807e+09 9.531771e+20 
2.924475e+00 2.975695e-02 1.487552e+53 1.059841e+46 5.412841e+41 1.106160e-09 2.643807e+09 9.435760e+20 
2.954232e+00 3.005973e-02 1.465057e+53 1.065164e+46 5.331265e+41 1.117416e-09 2.643807e+09 9.340717e+20 
2.984291e+00 3.036559e-02 1.442903e+53 1.070514e+46 5.250918e+41 1.128786e-09 2.643807e+09 9.246631e+20 
3.014657e+00 3.067457e-02 1.421083e+53 1.075890e+46 5.171782e+41 1.140271e-09 2.643807e+09 9.153493e+20 
3.045332e+00 3.098669e-02 1.399592e+53 1.081293e+46 5.093839e+41 1.151874e-09 2.643807e+09 9.061293e+20 
3.076318e+00 3.130198e-02 1.378425e+53 1.086722e+46 5.017070e+41 1.163594e-09 2.643807e+09 8.970022e+20 
3.107620e+00 3.162048e-02 1.357578e+53 1.092178e+46 4.941459e+41 1.175434e-09 2.643807e+09 8.879670e+20 
3.139241e+00 3.194223e-02 1.337046e+53 1.097661e+46 4.866987e+41 1.187394e-09 2.643807e+09 8.790228e+20 
3.171183e+00 3.226724e-02 1.316824e+53 1.103172e+46 4.793637e+41 1.199476e-09 2.643807e+09 8.701687e+20 
3.203450e+00 3.259557e-02 1.296907e+53 1.108709e+46 4.721393e+41 1.211681e-09 2.643807e+09 8.614038e+20 
3.236046e+00 3.292723e-02 1.277291e+53 1.114273e+46 4.650237e+41 1.224010e-09 2.643807e+09 8.527272e+20 
3.268973e+00 3.326227e-02 1.257971e+53 1.119866e+46 4.580154e+41 1.236464e-09 2.643807e+09 8.441380e+20 
3.302235e+00 3.360072e-02 1.238942e+53 1.125485e+46 4.511127e+41 1.249046e-09 2.643807e+09 8.356353e+20 
3.335836e+00 3.394261e-02 1.220201e+53 1.131133e+46 4.443141e+41 1.261755e-09 2.643807e+09 8.272182e+20 
3.369779e+00 3.428798e-02 1.201743e+53 1.136808e+46 4.376179e+41 1.274593e-09 2.643807e+09 8.188859e+20 
3.404067e+00 3.463687e-02 1.183563e+53 1.142511e+46 4.310226e+41 1.287562e-09 2.643807e+09 8.106376e+20 
3.438703e+00 3.498930e-02 1.165658e+53 1.148242e+46 4.245267e+41 1.300664e-09 2.643807e+09 8.024723e+20 
3.473693e+00 3.534532e-02 1.148023e+53 1.154001e+46 4.181287e+41 1.313898e-09 2.643807e+09 7.943893e+20 
3.509038e+00 3.570497e-02 1.130655e+53 1.159789e+46 4.118271e+41 1.327267e-09 2.643807e+09 7.863877e+20 
3.544743e+00 3.606827e-02 1.113549e+53 1.165605e+46 4.056205e+41 1.340772e-09 2.643807e+09 7.784667e+20 
3.580811e+00 3.643527e-02 1.096701e+53 1.171450e+46 3.995075e+41 1.354415e-09 2.643807e+09 7.706254e+20 
3.617247e+00 3.680600e-02 1.080107e+53 1.177324e+46 3.934866e+41 1.368196e-09 2.643807e+09 7.628632e+20 
3.654053e+00 3.718051e-02 1.063764e+53 1.183226e+46 3.875564e+41 1.382118e-09 2.643807e+09 7.551791e+20 
3.691233e+00 3.755883e-02 1.047668e+53 1.189157e+46 3.817156e+41 1.396181e-09 2.643807e+09 7.475725e+20 
3.728792e+00 3.794099e-02 1.031815e+53 1.195118e+46 3.759628e+41 1.410387e-09 2.643807e+09 7.400424e+20 
3.766733e+00 3.832705e-02 1.016201e+53 1.201108e+46 3.702967e+41 1.424738e-09 2.643807e+09 7.325883e+20 
